"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_cfgmagazines_ammo_new_12gamagnumbuckshot80","12ga 8.5mm 'Magnum' buckshot","12ga 8.5mm 'Magnum' buckshot","12ga 8.5mm 'Magnum' buckshot","12ga 8.5mm 'Magnum' buckshot","Патроны 12 калибра с картечью 8.5мм "Магнум"","12ga 8.5mm 'Magnum' buckshot","12ga 8.5mm 'Magnum' buckshot","12ga 8.5mm 'Magnum' buckshot","12ga 8.5mm 'Magnum' buckshot","12ga 8.5mm 'Magnum' buckshot","12ga 8.5mm 'Magnum' buckshot","12ga 8.5mm 'Magnum' buckshot","12ga 8.5mm 'Magnum' buckshot","12ga 8.5mm 'Magnum' buckshot",
"str_cfgmagazines_ammo_new_12gamagnumbuckshot81","12ga 8.5mm 'Magnum' buckshot. Used in shotguns.","12ga 8.5mm 'Magnum' buckshot. Used in shotguns.","12ga 8.5mm 'Magnum' buckshot. Used in shotguns.","12ga 8.5mm 'Magnum' buckshot. Used in shotguns.","Патрон 12 калибра с картечью 8.5мм "Магнум". Используется в дробовиках.","12ga 8.5mm 'Magnum' buckshot. Used in shotguns.","12ga 8.5mm 'Magnum' buckshot. Used in shotguns.","12ga 8.5mm 'Magnum' buckshot. Used in shotguns.","12ga 8.5mm 'Magnum' buckshot. Used in shotguns.","12ga 8.5mm 'Magnum' buckshot. Used in shotguns.","12ga 8.5mm 'Magnum' buckshot. Used in shotguns.","12ga 8.5mm 'Magnum' buckshot. Used in shotguns.","12ga 8.5mm 'Magnum' buckshot. Used in shotguns.","12ga 8.5mm 'Magnum' buckshot. Used in shotguns.",
"str_cfgmagazines_ammo_new_12garip0","12ga RIP","12ga RIP","12ga RIP","12ga RIP","Патроны 12 калибра RIP","12ga RIP","12ga RIP","12ga RIP","12ga RIP","12ga RIP","12ga RIP","12ga RIP","12ga RIP","12ga RIP",
"str_cfgmagazines_ammo_new_12garip1","12ga RIP. Used in shotguns.","12ga RIP. Used in shotguns.","12ga RIP. Used in shotguns.","12ga RIP. Used in shotguns.","Патрон 12 калибра RIP. Используется в дробовиках.","12ga RIP. Used in shotguns.","12ga RIP. Used in shotguns.","12ga RIP. Used in shotguns.","12ga RIP. Used in shotguns.","12ga RIP. Used in shotguns.","12ga RIP. Used in shotguns.","12ga RIP. Used in shotguns.","12ga RIP. Used in shotguns.","12ga RIP. Used in shotguns.",
"str_cfgmagazines_ammo_new_12gaap200","12ga AP-20 slug","12ga AP-20 slug","12ga AP-20 slug","12ga AP-20 slug","Патроны 12 калибра с бронебойной пулей "AP-20"","12ga AP-20 slug","12ga AP-20 slug","12ga AP-20 slug","12ga AP-20 slug","12ga AP-20 slug","12ga AP-20 slug","12ga AP-20 slug","12ga AP-20 slug","12ga AP-20 slug",
"str_cfgmagazines_ammo_new_12gaap201","12ga AP-20 slug. Used in shotguns.","12ga AP-20 slug. Used in shotguns.","12ga AP-20 slug. Used in shotguns.","12ga AP-20 slug. Used in shotguns.","Патрон 12 калибра с бронебойной пулей "AP-20". Используется в дробовиках.","12ga AP-20 slug. Used in shotguns.","12ga AP-20 slug. Used in shotguns.","12ga AP-20 slug. Used in shotguns.","12ga AP-20 slug. Used in shotguns.","12ga AP-20 slug. Used in shotguns.","12ga AP-20 slug. Used in shotguns.","12ga AP-20 slug. Used in shotguns.","12ga AP-20 slug. Used in shotguns.","12ga AP-20 slug. Used in shotguns.",
"str_cfgmagazines_ammo_new_12ga2sabot0","12ga Dual Sabot slug","12ga Dual Sabot slug","12ga Dual Sabot slug","12ga Dual Sabot slug","Патроны 12 калибра с двойной пулей 2-Sabot","12ga Dual Sabot slug","12ga Dual Sabot slug","12ga Dual Sabot slug","12ga Dual Sabot slug","12ga Dual Sabot slug","12ga Dual Sabot slug","12ga Dual Sabot slug","12ga Dual Sabot slug","12ga Dual Sabot slug",
"str_cfgmagazines_ammo_new_12ga2sabot1","12ga Dual Sabot slug. Used in shotguns.","12ga Dual Sabot slug. Used in shotguns.","12ga Dual Sabot slug. Used in shotguns.","12ga Dual Sabot slug. Used in shotguns.","Патрон 12 калибра с двойной пулей 2-Sabot. Используется в дробовиках.","12ga Dual Sabot slug. Used in shotguns.","12ga Dual Sabot slug. Used in shotguns.","12ga Dual Sabot slug. Used in shotguns.","12ga Dual Sabot slug. Used in shotguns.","12ga Dual Sabot slug. Used in shotguns.","12ga Dual Sabot slug. Used in shotguns.","12ga Dual Sabot slug. Used in shotguns.","12ga Dual Sabot slug. Used in shotguns.","12ga Dual Sabot slug. Used in shotguns.",
"str_cfgmagazines_ammo_new_12gaftxcustomlite0","12ga FTX Custom Lite slug","12ga FTX Custom Lite slug","12ga FTX Custom Lite slug","12ga FTX Custom Lite slug","Патроны 12 калибра с пулей "FTX Custom LIte"","12ga FTX Custom Lite slug","12ga FTX Custom Lite slug","12ga FTX Custom Lite slug","12ga FTX Custom Lite slug","12ga FTX Custom Lite slug","12ga FTX Custom Lite slug","12ga FTX Custom Lite slug","12ga FTX Custom Lite slug","12ga FTX Custom Lite slug",
"str_cfgmagazines_ammo_new_12gaftxcustomlite1","12ga FTX Custom Lite slug. Used in shotguns.","12ga FTX Custom Lite slug. Used in shotguns.","12ga FTX Custom Lite slug. Used in shotguns.","12ga FTX Custom Lite slug. Used in shotguns.","Патрон 12 калибра с пулей "FTX Custom LIte". Используется в дробовиках.","12ga FTX Custom Lite slug. Used in shotguns.","12ga FTX Custom Lite slug. Used in shotguns.","12ga FTX Custom Lite slug. Used in shotguns.","12ga FTX Custom Lite slug. Used in shotguns.","12ga FTX Custom Lite slug. Used in shotguns.","12ga FTX Custom Lite slug. Used in shotguns.","12ga FTX Custom Lite slug. Used in shotguns.","12ga FTX Custom Lite slug. Used in shotguns.","12ga FTX Custom Lite slug. Used in shotguns.",
"str_cfgmagazines_ammo_new_12gagrizzly400","12ga 'Grizzly 40' slug","12ga 'Grizzly 40' slug","12ga 'Grizzly 40' slug","12ga 'Grizzly 40' slug","Патроны 12 калибра с пулей "Гризли 40"","12ga 'Grizzly 40' slug","12ga 'Grizzly 40' slug","12ga 'Grizzly 40' slug","12ga 'Grizzly 40' slug","12ga 'Grizzly 40' slug","12ga 'Grizzly 40' slug","12ga 'Grizzly 40' slug","12ga 'Grizzly 40' slug","12ga 'Grizzly 40' slug",
"str_cfgmagazines_ammo_new_12gagrizzly401","12ga 'Grizzly 40' slug. Used in shotguns.","12ga 'Grizzly 40' slug. Used in shotguns.","12ga 'Grizzly 40' slug. Used in shotguns.","12ga 'Grizzly 40' slug. Used in shotguns.","Патрон 12 калибра с пулей "Гризли 40". Используется в дробовиках.","12ga 'Grizzly 40' slug. Used in shotguns.","12ga 'Grizzly 40' slug. Used in shotguns.","12ga 'Grizzly 40' slug. Used in shotguns.","12ga 'Grizzly 40' slug. Used in shotguns.","12ga 'Grizzly 40' slug. Used in shotguns.","12ga 'Grizzly 40' slug. Used in shotguns.","12ga 'Grizzly 40' slug. Used in shotguns.","12ga 'Grizzly 40' slug. Used in shotguns.","12ga 'Grizzly 40' slug. Used in shotguns.",
"str_cfgmagazines_ammo_new_12gapoleva30","12ga 'Poleva-3' slug","12ga 'Poleva-3' slug","12ga 'Poleva-3' slug","12ga 'Poleva-3' slug","Патроны 12 калибра с пулей "Полева-3"","12ga 'Poleva-3' slug","12ga 'Poleva-3' slug","12ga 'Poleva-3' slug","12ga 'Poleva-3' slug","12ga 'Poleva-3' slug","12ga 'Poleva-3' slug","12ga 'Poleva-3' slug","12ga 'Poleva-3' slug","12ga 'Poleva-3' slug",
"str_cfgmagazines_ammo_new_12gapoleva31","12ga 'Poleva-3' slug. Used in shotguns.","12ga 'Poleva-3' slug. Used in shotguns.","12ga 'Poleva-3' slug. Used in shotguns.","12ga 'Poleva-3' slug. Used in shotguns.","Патрон 12 калибра с пулей "Полева-3". Используется в дробовиках.","12ga 'Poleva-3' slug. Used in shotguns.","12ga 'Poleva-3' slug. Used in shotguns.","12ga 'Poleva-3' slug. Used in shotguns.","12ga 'Poleva-3' slug. Used in shotguns.","12ga 'Poleva-3' slug. Used in shotguns.","12ga 'Poleva-3' slug. Used in shotguns.","12ga 'Poleva-3' slug. Used in shotguns.","12ga 'Poleva-3' slug. Used in shotguns.","12ga 'Poleva-3' slug. Used in shotguns.",
"str_cfgmagazines_ammo_new_12gapoleva60","12ga 'Poleva-6u' slug","12ga 'Poleva-6u' slug","12ga 'Poleva-6u' slug","12ga 'Poleva-6u' slug","Патроны 12 калибра с пулей "Полева-6у"","12ga 'Poleva-6u' slug","12ga 'Poleva-6u' slug","12ga 'Poleva-6u' slug","12ga 'Poleva-6u' slug","12ga 'Poleva-6u' slug","12ga 'Poleva-6u' slug","12ga 'Poleva-6u' slug","12ga 'Poleva-6u' slug","12ga 'Poleva-6u' slug",
"str_cfgmagazines_ammo_new_12gapoleva61","12ga 'Poleva-6u' slug. Used in shotguns.","12ga 'Poleva-6u' slug. Used in shotguns.","12ga 'Poleva-6u' slug. Used in shotguns.","12ga 'Poleva-6u' slug. Used in shotguns.","Патрон 12 калибра с пулей "Полева-6у". Используется в дробовиках.","12ga 'Poleva-6u' slug. Used in shotguns.","12ga 'Poleva-6u' slug. Used in shotguns.","12ga 'Poleva-6u' slug. Used in shotguns.","12ga 'Poleva-6u' slug. Used in shotguns.","12ga 'Poleva-6u' slug. Used in shotguns.","12ga 'Poleva-6u' slug. Used in shotguns.","12ga 'Poleva-6u' slug. Used in shotguns.","12ga 'Poleva-6u' slug. Used in shotguns.","12ga 'Poleva-6u' slug. Used in shotguns.",
"str_cfgmagazines_ammo_new_12ga50bmg0","12ga artisanal slug '.50 BMG'","12ga artisanal slug '.50 BMG'","12ga artisanal slug '.50 BMG'","12ga artisanal slug '.50 BMG'","Патроны 12 калибра с кустарной пулей ".50 BMG"","12ga artisanal slug '.50 BMG'","12ga artisanal slug '.50 BMG'","12ga artisanal slug '.50 BMG'","12ga artisanal slug '.50 BMG'","12ga artisanal slug '.50 BMG'","12ga artisanal slug '.50 BMG'","12ga artisanal slug '.50 BMG'","12ga artisanal slug '.50 BMG'","12ga artisanal slug '.50 BMG'",
"str_cfgmagazines_ammo_new_12ga50bmg1","12ga artisanal slug '.50 BMG'. Used in shotguns.","12ga artisanal slug '.50 BMG'. Used in shotguns.","12ga artisanal slug '.50 BMG'. Used in shotguns.","12ga artisanal slug '.50 BMG'. Used in shotguns.","Патрон 12 калибра с кустарной пулей ".50 BMG". Используется в дробовиках.","12ga artisanal slug '.50 BMG'. Used in shotguns.","12ga artisanal slug '.50 BMG'. Used in shotguns.","12ga artisanal slug '.50 BMG'. Used in shotguns.","12ga artisanal slug '.50 BMG'. Used in shotguns.","12ga artisanal slug '.50 BMG'. Used in shotguns.","12ga artisanal slug '.50 BMG'. Used in shotguns.","12ga artisanal slug '.50 BMG'. Used in shotguns.","12ga artisanal slug '.50 BMG'. Used in shotguns.","12ga artisanal slug '.50 BMG'. Used in shotguns.",
"str_cfgmagazines_ammo_new_12galead0","12ga Lead slug","12ga Lead slug","12ga Lead slug","12ga Lead slug","Патроны 12 калибра с свинцовой калиберной пулей","12ga Lead slug","12ga Lead slug","12ga Lead slug","12ga Lead slug","12ga Lead slug","12ga Lead slug","12ga Lead slug","12ga Lead slug","12ga Lead slug",
"str_cfgmagazines_ammo_new_12galead1","12ga Lead slug. Used in shotguns.","12ga Lead slug. Used in shotguns.","12ga Lead slug. Used in shotguns.","12ga Lead slug. Used in shotguns.","Патрон 12 калибра с свинцовой калиберной пулей. Используется в дробовиках.","12ga Lead slug. Used in shotguns.","12ga Lead slug. Used in shotguns.","12ga Lead slug. Used in shotguns.","12ga Lead slug. Used in shotguns.","12ga Lead slug. Used in shotguns.","12ga Lead slug. Used in shotguns.","12ga Lead slug. Used in shotguns.","12ga Lead slug. Used in shotguns.","12ga Lead slug. Used in shotguns.",
"str_cfgmagazines_ammo_new_12gaflchettes0","12ga Flchette S","12ga Flchette S","12ga Flchette S","12ga Flchette S","Патроны 12 калибра флешетта S","12ga Flchette S","12ga Flchette S","12ga Flchette S","12ga Flchette S","12ga Flchette S","12ga Flchette S","12ga Flchette S","12ga Flchette S","12ga Flchette S",
"str_cfgmagazines_ammo_new_12gaflchettes1","12ga Flchette S. Used in shotguns.","12ga Flchette S. Used in shotguns.","12ga Flchette S. Used in shotguns.","12ga Flchette S. Used in shotguns.","Патрон 12 калибра флешетта S. Используется в дробовиках.","12ga Flchette S. Used in shotguns.","12ga Flchette S. Used in shotguns.","12ga Flchette S. Used in shotguns.","12ga Flchette S. Used in shotguns.","12ga Flchette S. Used in shotguns.","12ga Flchette S. Used in shotguns.","12ga Flchette S. Used in shotguns.","12ga Flchette S. Used in shotguns.","12ga Flchette S. Used in shotguns.",
"str_cfgmagazines_ammo_new_12gasuperformance0","12ga 'SuperFormance' expansive slug","12ga 'SuperFormance' expansive slug","12ga 'SuperFormance' expansive slug","12ga 'SuperFormance' expansive slug","Патроны 12 калибра с экспансивной пулей "SuperFormance"","12ga 'SuperFormance' expansive slug","12ga 'SuperFormance' expansive slug","12ga 'SuperFormance' expansive slug","12ga 'SuperFormance' expansive slug","12ga 'SuperFormance' expansive slug","12ga 'SuperFormance' expansive slug","12ga 'SuperFormance' expansive slug","12ga 'SuperFormance' expansive slug","12ga 'SuperFormance' expansive slug",
"str_cfgmagazines_ammo_new_12gasuperformance1","12ga 'SuperFormance' expansive slug. Used in shotguns.","12ga 'SuperFormance' expansive slug. Used in shotguns.","12ga 'SuperFormance' expansive slug. Used in shotguns.","12ga 'SuperFormance' expansive slug. Used in shotguns.","Патрон 12 калибра с экспансивной пулей "SuperFormance". Используется в дробовиках.","12ga 'SuperFormance' expansive slug. Used in shotguns.","12ga 'SuperFormance' expansive slug. Used in shotguns.","12ga 'SuperFormance' expansive slug. Used in shotguns.","12ga 'SuperFormance' expansive slug. Used in shotguns.","12ga 'SuperFormance' expansive slug. Used in shotguns.","12ga 'SuperFormance' expansive slug. Used in shotguns.","12ga 'SuperFormance' expansive slug. Used in shotguns.","12ga 'SuperFormance' expansive slug. Used in shotguns.","12ga 'SuperFormance' expansive slug. Used in shotguns.",
"str_cfgmagazines_ammo_new_12gacoppersabotpremier0","12ga Copper Sabot Premier expansive slug","12ga Copper Sabot Premier expansive slug","12ga Copper Sabot Premier expansive slug","12ga Copper Sabot Premier expansive slug","Патроны 12 калибра с экспансивной пулей Copper Sabot Premier","12ga Copper Sabot Premier expansive slug","12ga Copper Sabot Premier expansive slug","12ga Copper Sabot Premier expansive slug","12ga Copper Sabot Premier expansive slug","12ga Copper Sabot Premier expansive slug","12ga Copper Sabot Premier expansive slug","12ga Copper Sabot Premier expansive slug","12ga Copper Sabot Premier expansive slug","12ga Copper Sabot Premier expansive slug",
"str_cfgmagazines_ammo_new_12gacoppersabotpremier1","12ga Copper Sabot Premier expansive slug. Used in shotguns.","12ga Copper Sabot Premier expansive slug. Used in shotguns.","12ga Copper Sabot Premier expansive slug. Used in shotguns.","12ga Copper Sabot Premier expansive slug. Used in shotguns.","Патрон 12 калибра с экспансивной пулей Copper Sabot Premier. Используется в дробовиках.","12ga Copper Sabot Premier expansive slug. Used in shotguns.","12ga Copper Sabot Premier expansive slug. Used in shotguns.","12ga Copper Sabot Premier expansive slug. Used in shotguns.","12ga Copper Sabot Premier expansive slug. Used in shotguns.","12ga Copper Sabot Premier expansive slug. Used in shotguns.","12ga Copper Sabot Premier expansive slug. Used in shotguns.","12ga Copper Sabot Premier expansive slug. Used in shotguns.","12ga Copper Sabot Premier expansive slug. Used in shotguns.","12ga Copper Sabot Premier expansive slug. Used in shotguns.",
"str_cfgmagazines_ammo_new_12gaimbalanced0","12ga Imbalanced buckshot","12ga Imbalanced buckshot","12ga Imbalanced buckshot","12ga Imbalanced buckshot","Патроны 12 калибра с картечью Imbalanced","12ga Imbalanced buckshot","12ga Imbalanced buckshot","12ga Imbalanced buckshot","12ga Imbalanced buckshot","12ga Imbalanced buckshot","12ga Imbalanced buckshot","12ga Imbalanced buckshot","12ga Imbalanced buckshot","12ga Imbalanced buckshot",
"str_cfgmagazines_ammo_new_12gaimbalanced1","12ga Imbalanced buckshot. Used in shotguns.","12ga Imbalanced buckshot. Used in shotguns.","12ga Imbalanced buckshot. Used in shotguns.","12ga Imbalanced buckshot. Used in shotguns.","Патрон 12 калибра с картечью Imbalanced. Используется в дробовиках.","12ga Imbalanced buckshot. Used in shotguns.","12ga Imbalanced buckshot. Used in shotguns.","12ga Imbalanced buckshot. Used in shotguns.","12ga Imbalanced buckshot. Used in shotguns.","12ga Imbalanced buckshot. Used in shotguns.","12ga Imbalanced buckshot. Used in shotguns.","12ga Imbalanced buckshot. Used in shotguns.","12ga Imbalanced buckshot. Used in shotguns.","12ga Imbalanced buckshot. Used in shotguns.",
"str_cfgmagazines_ammo_new_12gaimbalancedslug0","12ga Imbalanced slug","12ga Imbalanced slug","12ga Imbalanced slug","12ga Imbalanced slug","Патроны 12 калибра с пулей Imbalanced,"12ga Imbalanced slug","12ga Imbalanced slug","12ga Imbalanced slug","12ga Imbalanced slug","12ga Imbalanced slug","12ga Imbalanced slug","12ga Imbalanced slug","12ga Imbalanced slug","12ga Imbalanced slug",
"str_cfgmagazines_ammo_new_12gaimbalancedslug1","12ga Imbalanced slug. Used in shotguns.","12ga Imbalanced slug. Used in shotguns.","12ga Imbalanced slug. Used in shotguns.","12ga Imbalanced slug. Used in shotguns.","Патрон 12 калибра с пулей Imbalanced". Используется в дробовиках.","12ga Imbalanced slug. Used in shotguns.","12ga Imbalanced slug. Used in shotguns.","12ga Imbalanced slug. Used in shotguns.","12ga Imbalanced slug. Used in shotguns.","12ga Imbalanced slug. Used in shotguns.","12ga Imbalanced slug. Used in shotguns.","12ga Imbalanced slug. Used in shotguns.","12ga Imbalanced slug. Used in shotguns.","12ga Imbalanced slug. Used in shotguns.",
"str_cfgmagazines_ammo_new_22subsonic0",".22 LR Subsonic Rounds",".22 LR Subsonic Rounds",".22 LR Subsonic Rounds",".22 LR Subsonic Rounds","Патроны .22 LR Дозвуковые",".22 LR Subsonic Rounds",".22 LR Subsonic Rounds",".22 LR Subsonic Rounds",".22 LR Subsonic Rounds",".22 LR Subsonic Rounds",".22 LR Subsonic Rounds",".22 LR Subsonic Rounds",".22 LR Subsonic Rounds",".22 LR Subsonic Rounds",
"str_cfgmagazines_ammo_new_22subsonic1",".22 Long Rifle Subsonic rimfire cartridge. Also known as .22 LR Subsonic. Used in small pistols.",".22 Long Rifle Subsonic rimfire cartridge. Also known as .22 LR Subsonic. Used in small pistols.",".22 Long Rifle Subsonic rimfire cartridge. Also known as .22 LR Subsonic. Used in small pistols.",".22 Long Rifle Subsonic rimfire cartridge. Also known as .22 LR Subsonic. Used in small pistols.","Малокалиберный унитарный патрон кольцевого воспламенения 22-го калибра Дозвуковые.",".22 Long Rifle Subsonic rimfire cartridge. Also known as .22 LR Subsonic. Used in small pistols.",".22 Long Rifle Subsonic rimfire cartridge. Also known as .22 LR Subsonic. Used in small pistols.",".22 Long Rifle Subsonic rimfire cartridge. Also known as .22 LR Subsonic. Used in small pistols.",".22 Long Rifle Subsonic rimfire cartridge. Also known as .22 LR Subsonic. Used in small pistols.",".22 Long Rifle Subsonic rimfire cartridge. Also known as .22 LR Subsonic. Used in small pistols.",".22 Long Rifle Subsonic rimfire cartridge. Also known as .22 LR Subsonic. Used in small pistols.",".22 Long Rifle Subsonic rimfire cartridge. Also known as .22 LR Subsonic. Used in small pistols.",".22 Long Rifle Subsonic rimfire cartridge. Also known as .22 LR Subsonic. Used in small pistols.",".22 Long Rifle Subsonic rimfire cartridge. Also known as .22 LR Subsonic. Used in small pistols.",
"str_cfgmagazines_ammo_new_22standardvelocity0",".22 LR Standard Rounds",".22 LR Standard Rounds",".22 LR Standard Rounds",".22 LR Standard Rounds","Патроны .22 LR Стандартные",".22 LR Standard Rounds",".22 LR Standard Rounds",".22 LR Standard Rounds",".22 LR Standard Rounds",".22 LR Standard Rounds",".22 LR Standard Rounds",".22 LR Standard Rounds",".22 LR Standard Rounds",".22 LR Standard Rounds",
"str_cfgmagazines_ammo_new_22standardvelocity1",".22 Long Rifle Standard rimfire cartridge. Also known as .22 LR Standard. Used in small pistols.",".22 Long Rifle Standard rimfire cartridge. Also known as .22 LR Standard. Used in small pistols.",".22 Long Rifle Standard rimfire cartridge. Also known as .22 LR Standard. Used in small pistols.",".22 Long Rifle Standard rimfire cartridge. Also known as .22 LR Standard. Used in small pistols.","Малокалиберный унитарный патрон кольцевого воспламенения 22-го калибра Стандартные.",".22 Long Rifle Standard rimfire cartridge. Also known as .22 LR Standard. Used in small pistols.",".22 Long Rifle Standard rimfire cartridge. Also known as .22 LR Standard. Used in small pistols.",".22 Long Rifle Standard rimfire cartridge. Also known as .22 LR Standard. Used in small pistols.",".22 Long Rifle Standard rimfire cartridge. Also known as .22 LR Standard. Used in small pistols.",".22 Long Rifle Standard rimfire cartridge. Also known as .22 LR Standard. Used in small pistols.",".22 Long Rifle Standard rimfire cartridge. Also known as .22 LR Standard. Used in small pistols.",".22 Long Rifle Standard rimfire cartridge. Also known as .22 LR Standard. Used in small pistols.",".22 Long Rifle Standard rimfire cartridge. Also known as .22 LR Standard. Used in small pistols.",".22 Long Rifle Standard rimfire cartridge. Also known as .22 LR Standard. Used in small pistols.",
"str_cfgmagazines_ammo_new_22highvelocity0",".22 LR High Speed ​​Rounds",".22 LR High Speed ​​Rounds",".22 LR High Speed ​​Rounds",".22 LR High Speed ​​Rounds","Патроны .22 LR Высокоскоростные",".22 LR High Speed ​​Rounds",".22 LR High Speed ​​Rounds",".22 LR High Speed ​​Rounds",".22 LR High Speed ​​Rounds",".22 LR High Speed ​​Rounds",".22 LR High Speed ​​Rounds",".22 LR High Speed ​​Rounds",".22 LR High Speed ​​Rounds",".22 LR High Speed ​​Rounds",
